Age,Sex,Job,Housing,Saving Accounts,Checking Account,Credit Amount,Duration,Purpose,Age Group,Risk Exposure Tiers
67,Male,2,Own,Unknown,Little,1169,6,Radio/Tv,Senior,Low Exposure
22,Female,2,Own,Little,Moderate,5951,48,Radio/Tv,Young Adult,High Exposure
49,Male,1,Own,Little,Unknown,2096,12,Education,Middle-Aged,Medium Exposure
45,Male,2,Free,Little,Little,7882,42,Furniture/Equipment,Middle-Aged,High Exposure
53,Male,2,Free,Little,Little,4870,24,Car,Senior,High Exposure
35,Male,1,Free,Unknown,Unknown,9055,36,Education,Middle-Aged,High Exposure
53,Male,2,Own,Quite Rich,Unknown,2835,24,Furniture/Equipment,Senior,Medium Exposure
35,Male,3,Rent,Little,Moderate,6948,36,Car,Middle-Aged,High Exposure
61,Male,1,Own,Rich,Unknown,3059,12,Radio/Tv,Senior,Medium Exposure
28,Male,3,Own,Little,Moderate,5234,30,Car,Young Adult,High Exposure
25,Female,2,Rent,Little,Moderate,1295,12,Car,Young Adult,Low Exposure
24,Female,2,Rent,Little,Little,4308,48,Business,Young Adult,High Exposure
22,Female,2,Own,Little,Moderate,1567,12,Radio/Tv,Young Adult,Medium Exposure
60,Male,1,Own,Little,Little,1199,24,Car,Senior,Low Exposure
28,Female,2,Rent,Little,Little,1403,15,Car,Young Adult,Low Exposure
32,Female,1,Own,Moderate,Little,1282,24,Radio/Tv,Middle-Aged,Low Exposure
53,Male,2,Own,Unknown,Unknown,2424,24,Radio/Tv,Senior,Medium Exposure
25,Male,2,Own,Unknown,Little,8072,30,Business,Young Adult,High Exposure
44,Female,3,Free,Little,Moderate,12579,24,Car,Middle-Aged,High Exposure
31,Male,2,Own,Quite Rich,Unknown,3430,24,Radio/Tv,Middle-Aged,Medium Exposure
48,Male,2,Own,Little,Unknown,2134,9,Car,Middle-Aged,Medium Exposure
44,Male,2,Rent,Quite Rich,Little,2647,6,Radio/Tv,Middle-Aged,Medium Exposure
48,Male,1,Rent,Little,Little,2241,10,Car,Middle-Aged,Medium Exposure
44,Male,2,Own,Moderate,Moderate,1804,12,Car,Middle-Aged,Medium Exposure
26,Male,2,Own,Unknown,Unknown,2069,10,Furniture/Equipment,Young Adult,Medium Exposure
36,Male,1,Own,Little,Little,1374,6,Furniture/Equipment,Middle-Aged,Low Exposure
39,Male,1,Own,Little,Unknown,426,6,Radio/Tv,Middle-Aged,Low Exposure
42,Female,2,Rent,Rich,Rich,409,12,Radio/Tv,Middle-Aged,Low Exposure
34,Male,2,Own,Little,Moderate,2415,7,Radio/Tv,Middle-Aged,Medium Exposure
63,Male,2,Own,Little,Little,6836,60,Business,Senior,High Exposure
36,Male,2,Own,Rich,Moderate,1913,18,Business,Middle-Aged,Medium Exposure
27,Male,2,Own,Little,Little,4020,24,Furniture/Equipment,Young Adult,High Exposure
30,Male,2,Own,Moderate,Moderate,5866,18,Car,Young Adult,High Exposure
57,Male,1,Rent,Unknown,Unknown,1264,12,Business,Senior,Low Exposure
33,Female,3,Own,Little,Rich,1474,12,Furniture/Equipment,Middle-Aged,Low Exposure
25,Male,1,Own,Little,Moderate,4746,45,Radio/Tv,Young Adult,High Exposure
31,Male,2,Free,Little,Unknown,6110,48,Education,Middle-Aged,High Exposure
37,Male,2,Own,Little,Rich,2100,18,Radio/Tv,Middle-Aged,Medium Exposure
